ID,Week,Treatments,Treatment,Concentration,Conc.,value,Honey_Yield,Pre_Treatment_Mite,Knockdown
Formic_Acid,1,Formic Acid 65% 10ml,Formic Acid 65%,10ml,1,15,7,20,64
Formic_Acid,1,Formic Acid 65% 10ml,Formic Acid 65%,10ml,1,15,6,18,72
Formic_Acid,1,Formic Acid 65% 10ml,Formic Acid 65%,10ml,1,19,7,19,69
Formic_Acid,1,Formic Acid 65% 10ml,Formic Acid 65%,10ml,1,17,5,15,66
Formic_Acid,1,Formic Acid 65% 10ml,Formic Acid 65%,10ml,1,13,7,19,48
Formic_Acid,2,Formic Acid 65% 10ml,Formic Acid 65%,10ml,1,19,7,20,64
Formic_Acid,2,Formic Acid 65% 10ml,Formic Acid 65%,10ml,1,21,6,18,72
Formic_Acid,2,Formic Acid 65% 10ml,Formic Acid 65%,10ml,1,27,7,19,69
Formic_Acid,2,Formic Acid 65% 10ml,Formic Acid 65%,10ml,1,19,5,15,66
Formic_Acid,2,Formic Acid 65% 10ml,Formic Acid 65%,10ml,1,14,7,19,48
Formic_Acid,3,Formic Acid 65% 10ml,Formic Acid 65%,10ml,1,25,7,20,64
Formic_Acid,3,Formic Acid 65% 10ml,Formic Acid 65%,10ml,1,32,6,18,72
Formic_Acid,3,Formic Acid 65% 10ml,Formic Acid 65%,10ml,1,40,7,19,69
Formic_Acid,3,Formic Acid 65% 10ml,Formic Acid 65%,10ml,1,22,5,15,66
Formic_Acid,3,Formic Acid 65% 10ml,Formic Acid 65%,10ml,1,15,7,19,48
Formic_Acid,4,Formic Acid 65% 10ml,Formic Acid 65%,10ml,1,14,7,20,64
Formic_Acid,4,Formic Acid 65% 10ml,Formic Acid 65%,10ml,1,14,6,18,72
Formic_Acid,4,Formic Acid 65% 10ml,Formic Acid 65%,10ml,1,12,7,19,69
Formic_Acid,4,Formic Acid 65% 10ml,Formic Acid 65%,10ml,1,15,5,15,66
Formic_Acid,4,Formic Acid 65% 10ml,Formic Acid 65%,10ml,1,12,7,19,48
Formic_Acid,1,Formic Acid 65% 15ml,Formic Acid 65%,15ml,2,18,9,18,43
Formic_Acid,1,Formic Acid 65% 15ml,Formic Acid 65%,15ml,2,20,10,19,51
